Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
"Khớp gối các loại, các cỡ",16,,,,,,,,,,,,,,,,,,,,,,,
,C00071.3,Bộ khớp gối cố định kèm xi măng kháng sinh,Khớp gối 1,5,"68,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TRÍ NGUYỄN,Adler Ortho S.p.A,Ý,10.00,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0
,C00043.1,Bộ khớp gối loại một ngăn bảo tồn xương,Khớp gối 2,2,"54,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG-Đức,Đức,100.00,5,6,6,3,2,1,0,0,0,0,0,0,0,0,0
,C00123.1,Bộ khớp gối toàn phần bảo tồn xương,Khớp gối 3,4,"53,910,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,MicroPort Orthopedics Inc.,Hoa Kỳ,27.14,70,19,19,9,3,7,0,0,0,0,0,0,0,0,0
,C00066.1,Bộ khớp gối toàn phần cố định bảo tồn dây chằng chéo,Khớp gối 4,4,"69,500,000",CÔNG TY TNHH XUẤT NHẬP KHẨU HOÀNG NĂM,Corin Ltd,UK,20.00,80,16,16,6,1,9,0,0,0,0,0,0,0,0,0
,C00067.2,Bộ khớp gối toàn phần cố định có trục cam chống trượt,Khớp gối 5,4,"69,500,000",CÔNG TY TNHH XUẤT NHẬP KHẨU HOÀNG NĂM,Corin Ltd,UK,5.00,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,C00109.4,Bộ khớp gối toàn phần có xi măng loại 1,Khớp gối 6,4,"66,000,000",CÔNG TY TNHH HÀ NỘI IEC,Teknimed SAS (Implantcast GmbH phân phối),Pháp,10.00,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,C00071.1,Bộ khớp gối toàn phần có xi măng loại cố định loại 2,Khớp gối 7,5,"57,120,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,"Smith & Nephew, Inc",Mỹ,10.00,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0
,C00042.1,"Bộ khớp gối toàn phần có xi măng loại cố định, góc gập gối 155 độ",Khớp gối 8,3,"75,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG-Đức,Đức,18.75,80,17,17,8,0,9,0,0,0,0,0,0,0,0,0
,C00072.1,Bộ khớp gối toàn phần có xi măng phương pháp hi sinh dây chằng chéo sau,Khớp gối 9,5,"78,225,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,"Smith & Nephew, Inc",Mỹ,22.50,40,9,9,3,0,6,0,0,0,0,0,0,0,0,0
