Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
"Khớp gối các loại, các cỡ",16,,,,,,,,,,,,,,,,,,,,,,,
,B000023.2,Bộ khớp gối toàn phần bảo tồn xương,Khớp gối 1,4,"58,500,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,MicroPort Orthopedics Inc.,Hoa Kỳ,98.75,80,79,79,1,7,12,4,1,0,0,7,6,16,10,15
,B000025.2,Bộ khớp gối toàn phần có xi,Khớp gối 2,4,"62,100,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,"b-ONE Ortho, Corp.",Hoa Kỳ,100.00,20,20,20,0,0,0,0,9,11,0,0,0,0,0,0
,B000581.2,Bộ khớp gối toàn phần gióng trục động học,Khớp gối 3,4,"64,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,MicroPort Orthopedics Inc.,Hoa Kỳ,0.00,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000536.2,Bộ khớp gối toàn phần có xi măng loại cố định loại 2,Khớp gối 4,5,"57,120,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,"Smith&
 Nephew Inc",Mỹ,90.00,10,9,9,0,0,1,3,2,0,1,0,1,1,0,0
,B000537.2,Bộ khớp gối nhân tạo toàn phần có xi măng phương pháp hi sinh dây chằng chéo sau,Khớp gối 5,5,"78,255,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,Smith&Nephew Inc,Mỹ,76.00,50,38,38,0,2,2,3,3,2,1,2,4,7,6,6
,B000206.2,Bộ khớp gối toàn phần có xi măng loại cố định. góc gập gối 155 độ,Khớp gối 6,3,"75,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,115.00,120,138,138,3,6,9,22,11,12,25,22,10,0,7,11
,B000207.2,Bộ khớp gối loại một ngăn bảo tồn xương,Khớp gối 7,2,"54,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,80.00,5,4,4,0,0,0,0,0,0,0,0,0,0,2,2
,B000208,Bộ khớp gối toàn phần có xi măng loại mono bản lề xoay chuôi dài phù hợp thay lại và mất chức năng dây chằng,Khớp gối 8,1,"190,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,60.00,5,3,3,0,0,0,0,1,0,0,0,0,1,1,0
,B000209,Bộ khớp gối toàn phần loại module bản lề xoay phù hợp thay lại và mất chức năng dây chằng. kết hợp chuôi dài có xi măng,Khớp gối 9,1,"300,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,40.00,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0
,B000294,"Bộ khớp gối toàn phần, thiết kế theo giải phẫu, có xi măng, mâm chày thiết kế trái phải theo giải phẫu, cố định hoặc linh động",Khớp gối 10,4,"53,000,000",CÔNG TY TNHH HÀ NỘI IEC,Peter Brehm,Đức,112.50,80,90,90,1,1,12,6,6,11,10,6,6,11,8,12
,B000295.1,"Bộ khớp gối toàn phần, có xi măng, lồi cầu và mâm chày, thiết kế giải phẫu loại linh động loại 1",Khớp gối 11,4,"97,000,000",CÔNG TY TNHH HÀ NỘI IEC,Peter Brehm,Đức,77.14,70,54,54,4,3,3,2,1,5,4,6,4,13,7,2
,B000329.4,Bộ khớp gối toàn phần có xi măng loại cố định loại 1,Khớp gối 12,5,"65,000,000",CÔNG TY TNHH IDS MEDICAL SYSTEMS VIỆT NAM,"Lima Corporate 
 S.p.A",Ý,10.00,80,8,8,0,0,0,5,2,0,1,0,0,0,0,0
