Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
N06.02.020,11,"Stent động mạch vành phủ thuốc các loại, các cỡ",,,,,,,,,,,,,,,,,,,,,
,A22011,"Khung giá đỡ (stent) động mạch vành bọc màng sinh học có phủ thuốc, cho các tổn thương phức tạp ",Stent vành phủ thuốc loại 1,1,38300000,CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ NGỌC LAM,CID S.p.A,Italy,230,264,264,15,5,43,26,25,22,26,8,29,22,37,6
,A22031,Khung giá đỡ (stent) động mạch vành loại phủ thuốc có khả năng mở nhánh ,Stent vành phủ thuốc loại 2,1,36980000,CÔNG TY CỔ PHẦN THƯƠNG MẠI Y TẾ TÂM VIỆT,Ashitaka Factory of Terumo Corporation,Nhật Bản,100,80,80,4,15,2,1,0,0,18,4,3,25,8,0
,A22051,"Khung giá đỡ (stent) động mạch vành phủ thuốc, ngăn khuếch tán ion kim loại ",Stent vành phủ thuốc loại 3,1,40500000,CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Thụy Sĩ,180,223,223,15,36,27,29,18,17,4,9,4,14,37,13
,A22041,"Khung giá đỡ (stent) động mạch vành phủ thuốc, thanh khung dạng lõi kép ",Stent vành phủ thuốc loại 4,1,44190000,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP VẬT TƯ Y TẾ,Medtronic Ireland,Ireland,120,155,155,18,10,6,3,22,4,18,19,15,12,0,28
,A22061,Khung giá đỡ (stent) động mạch vành sinh học phủ thuốc điều trị kép các cỡ ,Stent vành phủ thuốc loại 5,1,39500000,CÔNG TY CỔ PHẦN CÔNG NGHỆ Y TẾ VIỆT ĐỨC,OrbusNeich Medical B.V.,Hà Lan,150,169,169,4,9,12,17,13,20,18,10,6,24,18,18
,A22071,"Khung giá đỡ (stent) mạch vành phủ thuốc sirolimus có gắn cản quang, biên dạng đầu típ nhỏ phủ ái nước ",Stent vành phủ thuốc loại 6,1,22500000,CÔNG TY TNHH PHÁT TRIỂN NGUYÊN PHƯƠNG,Công ty cổ phần nhà máy trang thiết bị y tế USM Healthcare,Việt Nam,200,113,113,3,0,3,6,10,12,14,10,8,1,10,36
,A22081,Khung giá đỡ (stent) mạch vành phủ thuốc Sirolimus Polymer tự tiêu ,Stent vành phủ thuốc loại 7,1,21400000,CÔNG TY TNHH XUÂN VY,Công ty Cổ phần Nhà máy Trang thiết bị Y tế USM Healthcare,Việt Nam,450,325,325,9,33,17,15,19,13,19,47,28,13,23,89
,A22021,Stent động mạch vành phủ thuốc cho tổn thương phức tạp ,Stent vành phủ thuốc loại 8,1,43500000,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ Y TẾ DMEC,Abbott Vascular,Ireland,150,195,195,5,35,19,15,22,28,0,20,14,18,19,0
,A22091,Stent động mạch vành phủ thuốc trên nền polymer tự tiêu ,Stent vành phủ thuốc loại 9,1,45500000,CÔNG TY TNHH MỘT THÀNH VIÊN KHẢI CA,Boston Scientific Corporation,Mỹ,50,29,29,0,0,0,1,0,0,19,9,0,0,0,0
,A22101,"Stent mạch vành loại phủ thuốc, thiết kế linh hoạt ",Stent vành phủ thuốc loại 10,1,28000000,CÔNG TY TNHH XUÂN VY,Công ty Cổ phần Nhà máy Trang thiết bị Y tế USM Healthcare,Việt Nam,50,62,62,0,0,0,0,0,1,18,19,4,4,9,7
,A28041,Khung giá đỡ (stent) mạch vành có màng bọc ,Stent vành phủ thuốc loại 11 ( cover stent),1,58500000,CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Thụy Sĩ,5,5,5,0,0,0,0,0,2,1,0,0,1,0,1
N06.02.030,1,"Stent động mạch thận các loại, các cỡ",,1,,,,,,,,,,,,,,,,,,,
,A27071,Khung giá đỡ (stent) động mạch thận và mạch ngoại vi ,Stent động mạch thân ,1,17900000,CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Thụy Sĩ,70,79,79,5,6,8,5,10,4,11,4,4,13,6,3
N06.02.040,4,"Stent động mạch chi các loại, các cỡ",,1,,,,,,,,,,,,,,,,,,,
,A27041,Khung giá đỡ (stent) động mạch đùi có màng bọc sinh học vĩnh viễn ,Stent mạch chi loại 1,1,22000000,CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ NGỌC LAM,CID S.p.A,Italy,30,24,24,2,0,7,4,0,2,1,2,0,1,0,5
