Nhóm,Mã,Bộ ,Tên,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,SL thầu năm trước
Khớp gối,KG1,"Khớp gối toàn phần có xi măng, lớp lót có bổ sung vitamin e tích hợp đầu chờ miếng ghép xương",Khớp gối 1,5,58.000.000,Công ty Cổ phần Dược phẩm Bến Thành,united orthopedic corporation - Synimed,Đài Loan - Pháp,180.00,15,27,27,0
Khớp gối,KG2,"Khớp gối toàn phần thay lại có xi măng, lớp lót có bổ xung vitamin e dạng modul có đầu chờ miếng ghép và chuôi nối dài chuyển trục",Khớp gối 2,5,80.080.000,Công ty Cổ phần Dược phẩm Bến Thành,united orthopedic corporation - Synimed,Đài Loan - Pháp,0.00,2,0,0,0
Khớp gối,KG3,"Bộ khớp gối toàn phần có xi măng loại cố định, góc gập gối 155 độ",Khớp gối 3,4,75.000.000,Công ty cổ phần trang thiết bị y tế Cổng Vàng,LINK,Đức,240.00,20,48,48,0
Khớp gối,KG4,Bộ khớp gối toàn phần bảo tồn xương,Khớp gối 4,1,60.000.000,Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Microport / Teknimed,Mỹ / Pháp,240.00,20,48,48,0
Khớp gối,KG5,Bộ khớp gối toàn phần có xi,Khớp gối 5,1,64.800.000,Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,b-One / Teknimed,Mỹ / Pháp,120.00,10,12,12,0
Khớp gối,KG6,Bộ khớp gối toàn phần có xi măng,Khớp gối 6,5,60.120.000,Liên danh Việt sing - Visimed,"Smith & Nephew, Inc;",,70.00,20,14,14,0
Khớp gối,KG7,Bộ khớp gối toàn phần có xi bảo tồn dây chằng,Khớp gối 7,1,55.800.000,Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Microport / Teknimed,Mỹ / Pháp,100.00,5,5,5,0
Khớp gối,KG8,Bộ khớp gối toàn phần có xi măng giảm dần đa bán kính,Khớp gối 8,4,53.600.000,Công ty TNHH Medison,Depuy Synthes,Mỹ/ Ai Len/ Anh,0.00,5,0,0,0
Khớp gối,KG9,"Bộ khớp gối toàn phần, thiết kế theo giải phẫu, có xi măng, mâm chày thiết kế trái phải theo giải phẫu, loại 2 trong 1: cố định hoặc linh động",Khớp gối 9,6,53.000.000,CÔNG TY TNHH HÀ NỘI IEC,"Peter Brehm, Synimed, Implantcast","Đức, Pháp",32.00,25,8,8,0
Khớp gối,KG10,"Khớp gối toàn phần có xi măng, titan phủ gốm, pe crosslinked vitamin e",Khớp gối 10,4,66.000.000,CÔNG TY TNHH HÀ NỘI IEC,"Implantcast, Synimed","Đức, Pháp",6.67,15,1,1,0
Khớp gối,KG11,"Khớp gối toàn phần hybrid, 1/2 xi măng, lồi cầu không xi măng, thiết kế theo giải phẫu, loại 2 trong 1: cố định hoặc linh động",Khớp gối 11,6,60.500.000,CÔNG TY TNHH HÀ NỘI IEC,"Peter Brehm, Synimed, Implantcast","Đức, Pháp",0.00,2,0,0,0
Khớp gối,KG12,"Khớp gối toàn phần, ceramic on pe, có xi măng, lồi cầu và mâm chày ceramic, thiết kế anatomy loại linh động",Khớp gối 12,5,97.000.000,CÔNG TY TNHH HÀ NỘI IEC,"Peter Brehm, Synimed, Implantcast","Đức, Pháp",136.00,25,34,34,0
Khớp gối,KG13,"Khớp gối toàn phần, ceramic on pe, có xi măng, lồi cầu và mâm chày ceramic, thiết kế anatomy loại linh động đĩa sâu",Khớp gối 13,4,97.000.000,Công ty TNHH Hà Nội IEC,"Peter Brehm, Synimed, Teknimed (Implantcast phân phối)","Đức, Pháp",120.00,5,6,6,0
Khớp gối,KG14,Bộ khớp gối toàn phần cố định bảo tồn dây chằng chéo,Khớp gối 14,5,70.000.000,Công ty TNHH Xuất nhập khẩu Hoàng Năm,Corin Ltd,Đức,97.50,40,39,39,0
Khớp gối,KG15,"Bộ khớp gối toàn phần, thiết kế theo giải phẫu, có xi măng, mâm chày thiết kế trái phải theo giải phẫu, lớp đệm mâm chày cố định",Khớp gối 15,5,53.000.000,Công ty TNHH Hà Nội IEC,"Peter Brehm, Synimed, Teknimed (Implantcast phân phối)","Đức, Pháp",60.87,23,14,14,0
Khớp gối,KG16,"Bộ khớp gối toàn phần, thiết kế theo giải phẫu, có xi măng, mâm chày thiết kế trái phải theo giải phẫu, lớp đệm mâm chày linh động",Khớp gối 16,5,53.000.000,Công ty TNHH Hà Nội IEC,"Peter Brehm, Synimed, Teknimed (Implantcast phân phối)","Đức, Pháp",0.00,1,0,0,0
Khớp gối,KG17,"Bộ khớp gối toàn phần, thiết kế theo giải phẫu, có xi măng, mâm chày thiết kế trái phải theo giải phẫu, lớp đệm mâm chày linh động đĩa sâu",Khớp gối 17,5,53.000.000,Công ty TNHH Hà Nội IEC,"Peter Brehm, Synimed, Teknimed (Implantcast phân phối)","Đức, Pháp",0.00,1,0,0,0
Khớp gối,KG18,Khớp gối toàn phần có xi măng loại cố định ổn định phía sau,Khớp gối 18,5,65.000.000,Công ty TNHH IDS Medical Systems Việt Nam,Lima Corporate; Tecres S.p.A,Ý,190.00,10,19,19,0
Khớp gối,KG19,Khớp gối toàn phần có xi măng loại di động ổn định phía sau,Khớp gối 19,5,70.000.000,Công ty TNHH IDS Medical Systems Việt Nam,Lima Corporate; Tecres S.p.A,Ý,170.00,10,17,17,0
Khớp háng bán phần có xi măng,BPCX1,Bộ khớp háng bán phần có xi măng góc 135 độ,Khớp háng bán phần có xi măng 1,6,43.280.000,Công ty Cổ phần Thiết bị Y tế Việt Sing,"Smith & Nephew, Inc;","Mỹ, Pháp, Thụy Sỹ, Đức",83.33,30,25,25,0
Khớp háng bán phần có xi măng,BPCX2,"Bộ khớp háng bán phần bipolar có xi măng, chuôi bóng, góc cổ chuôi 135 độ",Khớp háng bán phần có xi măng 2,5,40.300.000,CÔNG TY TNHH HÀ NỘI IEC,"Implantcast, Synimed","Đức, Pháp",75.00,20,15,15,0
