Nhóm,Mã,Bộ ,Tên,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,SL thầu năm trước
"Giá đỡ (stent) các loại, các cỡ khác",STENT1,Hệ thống khung giá đỡ động mạch kèm đoạn mạch nhân tạo,STENT1,1,"325,000,000",Công ty CP Dược Phẩm Thống Nhất,Jotec Gmbh,Đức,100.00,1,1,1,
"Giá đỡ (stent) các loại, các cỡ khác",STENT2,Khung giá đỡ (stent) chuyển hướng dòng chảy cho can thiệp điều trị phình động mạch não chất liệu nitinol hỗn hợp loại mini,STENT2,1,"215,000,000",Công ty CP Dược Phẩm trung ương Codupha,Acandis,Đức,10.00,10,1,1,
"Giá đỡ (stent) các loại, các cỡ khác",STENT3,Khung giá đỡ (stent) chuyển hướng dòng chảy cho can thiệp điều trị phình mạch não chất liệu nitimol hỗn hợp,STENT3,1,"215,000,000",Công ty CP Dược Phẩm trung ương Codupha,Acandis,Đức,0.00,65,0,0,
"Giá đỡ (stent) các loại, các cỡ khác",STENT4,"Khung giá đỡ (stent) lấy huyết khối trong can thiệp mạch não, có mắt lưới đóng mở xen kẽ",STENT4,1,"54,000,000",Công ty CP Dược Phẩm trung ương Codupha,Acandis,Đức,0.00,10,0,0,
"Giá đỡ (stent) các loại, các cỡ khác",STENT5,Khung giá đỡ (stent) mạch não tự giãn nở cho can thiệp và điều trị phình mạch não và hỗ trợ thả coil,STENT5,1,"58,000,000",Công ty CP Dược Phẩm trung ương Codupha,Acandis,Đức,70.00,60,42,42,
"Giá đỡ (stent) các loại, các cỡ khác",STENT6,"Khung giá đỡ (stent) mạch não tự giãn nở, dùng trong điều trị xơ vữa động mạch nội sọ có thể thu hồi",STENT6,1,"73,550,000",Công ty CP Dược Phẩm trung ương Codupha,Acandis,Đức,75.00,20,15,15,
"Giá đỡ (stent) các loại, các cỡ khác",STENT7,Khung giá đỡ (stent) mạch não đổi hướng dòng chảy,STENT7,1,"220,000,000",Công ty CP Thiết Bị Y Tế VNT,Ev3,Mỹ,0.00,130,0,0,
"Giá đỡ (stent) các loại, các cỡ khác",STENT8,Khung giá đỡ (stent) mạch não lấy huyết khối chuyên dụng,STENT8,1,"45,000,000",Công ty CP Thiết Bị Y Tế VNT,Ev3,Mỹ,7.14,70,5,5,
"Giá đỡ (stent) các loại, các cỡ khác",STENT9,Khung giá đỡ (stent) sử dụng lấy huyết khối trong điều trị mạch não,STENT9,1,"46,000,000",Công ty CP Thiết Bị Y Tế VNT,Ev3,Mỹ,60.00,30,18,18,
"Giá đỡ (stent) các loại, các cỡ khác",STENT10,Stent đường mật bằng nhựa,STENT10,1,"900,000",Công ty CP Vật Tư và Trang Thiết Bị Y Tế Cường An,Boston Scientific,Ireland,104.38,320,334,334,
