Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
N06.02.020,17,"Stent động mạch vành phủ thuốc các loại, các cỡ",,,,,,,,,,,,,,,,,,,,,,
,A22011,"Khung giá đỡ (stent) động mạch vành bọc màng sinh học có phủ thuốc, cho các tổn thương phức tạp ",Stent vành phủ thuốc loại 1,1,"38,300,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ NGỌC LAM,CID S.p.A,Italy,20.00,200,40,40,14,6,20,0,0,0,0,0,0,0,0,0
,A22031,Khung giá đỡ (stent) động mạch vành loại phủ thuốc có khả năng mở nhánh ,Stent vành phủ thuốc loại 2,1,"36,980,000",CÔNG TY CP GIA HƯNG SANTERVIET,Ashitaka Factory of Terumo Corporation,Nhật Bản,27.00,100,27,27,9,10,8,0,0,0,0,0,0,0,0,0
,A22051,"Khung giá đỡ (stent) động mạch vành phủ thuốc, ngăn khuếch tán ion kim loại ",Stent vành phủ thuốc loại 3,1,"40,500,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Thụy Sĩ,31.33,150,47,47,25,15,7,0,0,0,0,0,0,0,0,0
,A22041,"Khung giá đỡ (stent) động mạch vành phủ thuốc, thanh khung dạng lõi kép ",Stent vành phủ thuốc loại 4,1,"44,190,000",CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP VẬT TƯ Y TẾ,Medtronic Ireland,Ireland,16.67,150,25,25,5,4,16,0,0,0,0,0,0,0,0,0
,A22061,Khung giá đỡ (stent) động mạch vành sinh học phủ thuốc điều trị kép các cỡ ,Stent vành phủ thuốc loại 5,1,"39,500,000",CÔNG TY CỔ PHẦN CÔNG NGHỆ Y TẾ VIỆT ĐỨC,"OrbusNeich
Medical B.V.",Hà Lan,24.67,150,37,37,6,15,16,0,0,0,0,0,0,0,0,0
,A22071,"Khung giá đỡ (stent) mạch vành phủ thuốc sirolimus có gắn cản quang, biên dạng đầu típ nhỏ phủ ái nước ",Stent vành phủ thuốc loại 6,1,"22,500,000",CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ PTV,Công ty CP Nhà máy Trang thiết bị Y tế USM Healthcare,Việt Nam,5.71,140,8,8,1,3,4,0,0,0,0,0,0,0,0,0
,A22081,Khung giá đỡ (stent) mạch vành phủ thuốc Sirolimus Polymer tự tiêu ,Stent vành phủ thuốc loại 7,1,"21,400,000",CÔNG TY TNHH XUÂN VY,Công ty Cổ phần Nhà máy Trang thiết bị Y tế USM Healthcare,Việt Nam,7.86,280,22,22,9,8,5,0,0,0,0,0,0,0,0,0
,A22021,Stent động mạch vành phủ thuốc cho tổn thương phức tạp ,Stent vành phủ thuốc loại 8,1,"43,500,000",CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ Y TẾ DMEC,Abbott Vascular,Ireland,22.00,150,33,33,14,6,13,0,0,0,0,0,0,0,0,0
,A22091,Stent động mạch vành phủ thuốc trên nền polymer tự tiêu ,Stent vành phủ thuốc loại 9,1,"45,500,000",LIÊN DANH HƯNG BÌNH - KHẢI CA,Boston Scientific Limited,Mỹ,34.00,50,17,17,3,7,7,0,0,0,0,0,0,0,0,0
,A22101,"Stent mạch vành loại phủ thuốc, thiết kế linh hoạt ",Stent vành phủ thuốc loại 10,1,"28,000,000",CÔNG TY CỔ PHẦN NHÀ MÁY TRANG THIẾT BỊ Y TẾ USM HEALTHCARE,Công ty Cổ phần Nhà máy Trang thiết bị y tế USM Healthcare,Việt Nam,7.78,90,7,7,2,2,3,0,0,0,0,0,0,0,0,0
,A28041,Khung giá đỡ (stent) mạch vành có màng bọc ,Stent vành phủ thuốc loại 11 ( cover stent),1,"58,500,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Thụy Sĩ,10.00,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
